id,title,artist,culture,image,hex1,hex2,hex3,percent1,percent2,percent3,hue1,hue2,hue3,year
190123,Eight Views of Jiangnan: an Album,unknown,Chinese,https://nrs.harvard.edu/urn-3:HUAM:INV004180_dynmc,#af967d,#c8af96,#c8c8af,0.635555556,0.172777778,0.069320988,Brown,Brown,Green,0
190169,Emperor Kang Xi's Calligraphy,unknown,Chinese,https://nrs.harvard.edu/urn-3:HUAM:INV011697_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
191404,Shabti Figurine,unknown,Egyptian,https://nrs.harvard.edu/urn-3:HUAM:INV028534_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
191919,Shabti Figurine,unknown,Egyptian,https://nrs.harvard.edu/urn-3:HUAM:INV028579_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
191925,Shabti Statuette,unknown,Egyptian,https://nrs.harvard.edu/urn-3:HUAM:INV028549_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
192008,"An Italian Port; verso, sketch of male equestrian figure by same hand",Unidentified Artist,Dutch,https://nrs.harvard.edu/urn-3:HUAM:71924_dynmc,#e1c8af,#e1e1c8,#c8af96,0.481347518,0.405602837,0.077234043,Orange,Green,Brown,0
192337,Baren (tool used to rub the reverse of a woodblock print to in order to transfer the pigment),unknown,Japanese,https://nrs.harvard.edu/urn-3:HUAM:INV018816_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
201813,Landscape in Blue-Green Style,Nan Wen,Chinese,https://nrs.harvard.edu/urn-3:HUAM:INV004637_dynmc,#af967d,unknown,unknown,1,unknown,unknown,Brown,unknown,unknown,0
202632,"Beneath the Autumn Leaves (Momiji no Ga), Illustration and Calligraphic Excerpt to Chapter 7 of the Tale of Genji (Genji monogatari)",Tosa Mitsuyoshi,Japanese,https://nrs.harvard.edu/urn-3:HUAM:INV005592_dynmc,#000000,#e1c8af,#e1e1c8,0.605217391,0.123188406,0.109371981,Black,Orange,Green,0
203309,SEASCAPE WITH TREE AND BOAT,Zhu Da (also known as Bada Shanren),Chinese,https://nrs.harvard.edu/urn-3:HUAM:INV014006_dynmc,#967d64,#af9664,#7d644b,0.458109453,0.394726368,0.0560199,Brown,Yellow,Yellow,0
208924,"THIRTY-SIX VIEWS OF YEDO ""OCHANOMIZU""",Utagawa Hiroshige II,Japanese,https://nrs.harvard.edu/urn-3:HUAM:CARP05814_dynmc,#32644b,#327d64,#7d7d64,0.142533333,0.1332,0.102733333,Green,Green,Yellow,0
208925,"THIRTY-SIX VIEWS OF YADO ""KANDA MIYOJIN""",Utagawa Hiroshige II,Japanese,https://nrs.harvard.edu/urn-3:HUAM:CARP05812_dynmc,#e1e1af,#7d967d,#969696,0.429933333,0.154466667,0.118733333,Green,Green,Grey,0
208994,"THIRTY-SIX VIEWS OF YEDO, ""SEKIYA NO SATO""",Utagawa Hiroshige II,Japanese,https://nrs.harvard.edu/urn-3:HUAM:CARP05808_dynmc,#96967d,#32644b,#fae1c8,0.149333333,0.143533333,0.139133333,Green,Green,Yellow,0
211227,Garden of Butterflies,unknown,Chinese,https://nrs.harvard.edu/urn-3:HUAM:771087,#967d4b,#af9664,#7d644b,0.497333333,0.2312,0.128533333,Brown,Yellow,Yellow,0
212311,Flowers and Insects,Johanna Helena Herolt,Dutch,https://nrs.harvard.edu/urn-3:HUAM:770385,#e1e1c8,#c8af7d,#644b32,0.796756757,0.202342342,0.00036036,Green,Brown,Brown,0
213656,Tunic Fragment: Four Dancers under Arches,unknown,Byzantine,https://nrs.harvard.edu/urn-3:HUAM:756839,#af7d4b,#7d644b,#644b32,0.381276596,0.222836879,0.204680851,Yellow,Yellow,Brown,0
217201,Minerva Medica,Pietro Fontana,Italian,https://nrs.harvard.edu/urn-3:HUAM:INV020631_dynmc,#e1c8c8,#c8af96,#af967d,0.757037037,0.069292929,0.054208754,Orange,Brown,Brown,0
222468,Untitled,Rudolf Jacobi,German,https://nrs.harvard.edu/urn-3:HUAM:INV178189_dynmc,#4b647d,#4b4b4b,#7d9696,0.207578348,0.148888889,0.12962963,Blue,Grey,Green,0
225051,Brown Leaf on Brown,Eini Sihvonen,American,https://nrs.harvard.edu/urn-3:HUAM:INV160461_dynmc,#e1af96,#fac896,#e1e1c8,0.496777778,0.461666667,0.033611111,Orange,Orange,Green,0
225109,Color Transparencies,Eini Sihvonen,American,https://nrs.harvard.edu/urn-3:HUAM:765519,#4b6464,#4b3232,#96967d,0.197298851,0.183275862,0.113045977,Blue,Red,Green,0
225188,Portrait of a Man,Unidentified Artist,American,https://nrs.harvard.edu/urn-3:HUAM:INV160470_dynmc,#fae1c8,#e1c8af,#c8af96,0.611594203,0.292811594,0.065391304,Yellow,Orange,Brown,0
225190,Composition with Trees,Unidentified Artist,American,https://nrs.harvard.edu/urn-3:HUAM:INV160457_dynmc,#4b7d96,#1996af,#c8c8af,0.283466667,0.130453333,0.071786667,Blue,Blue,Green,0
225255,Bernie Jumped into Her Lap and Kissed Her,Unidentified Artist,American,https://nrs.harvard.edu/urn-3:HUAM:INV160472_dynmc,#fac896,#e1af7d,#fae1c8,0.802418879,0.161297935,0.024955752,Orange,Orange,Yellow,0
225350,Collage of letters,Unidentified Artist,American,https://nrs.harvard.edu/urn-3:HUAM:INV160435_dynmc,#fafae1,#96967d,#323219,0.604537815,0.055518207,0.048963585,Green,Green,Brown,0
225356,Textures and values,Unidentified Artist,American,https://nrs.harvard.edu/urn-3:HUAM:INV160430_dynmc,#c8c8c8,#afafaf,#969696,0.140082305,0.133004115,0.124279835,Grey,Grey,Grey,0
225574,Construction,Donald Alter,American,https://nrs.harvard.edu/urn-3:HUAM:INV160460_dynmc,#7d4b19,#321919,#0096af,0.44974359,0.172923077,0.171333333,Brown,Brown,Blue,0
225772,Collage of photos and letters [Brooklyn College Student],Unidentified Artist,American,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
227747,"Aeneas carrying his father, Anchises, followed by Ascanius, after Le Pautre",Unidentified Artist,French,https://nrs.harvard.edu/urn-3:HUAM:VRS14607_dynmc,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0
228643,Fete Nautique,Eugène Louis Gillot,French,https://nrs.harvard.edu/urn-3:HUAM:INV006481_dynmc,#e1e1c8,#af9696,#7d7d7d,0.616546185,0.130843373,0.103373494,Green,Brown,Grey,0
237152,Frozen River to the Left of a Square Tower,Esaias van de Velde,Dutch,https://nrs.harvard.edu/urn-3:HUAM:INV191319_dynmc,#e1e1c8,#c8c8af,#96967d,0.536918239,0.207044025,0.076918239,Green,Green,Green,0
237210,September,Aegidius Sadeler,Flemish,https://nrs.harvard.edu/urn-3:HUAM:INV190470_dynmc,#4b4b32,#afaf96,#64644b,0.228479532,0.182923977,0.159883041,Green,Green,Green,0
237301,Skaters,Esaias van de Velde,Dutch,https://nrs.harvard.edu/urn-3:HUAM:INV191320_dynmc,#e1c8af,#c8af96,#af967d,0.534857143,0.185650794,0.167428571,Orange,Brown,Brown,0
237305,Landscape with a Brewery,Esaias van de Velde,Dutch,https://nrs.harvard.edu/urn-3:HUAM:774908,#c8c8af,#96967d,#c8af96,0.298181818,0.163636364,0.1604329,Green,Green,Brown,0
237611,June,Aegidius Sadeler,Flemish,https://nrs.harvard.edu/urn-3:HUAM:INV190375_dynmc,#c8c8af,#afaf96,#644b4b,0.199195402,0.178563218,0.145689655,Green,Green,Brown,0
237660,Het Dorp Amsterveen,Geertruydt Roghman,Dutch,https://nrs.harvard.edu/urn-3:HUAM:774918,#e1e1c8,#c8c8af,#afaf96,0.493476703,0.17655914,0.070179211,Green,Green,Green,0
239882,Golden Age,Johann Theodor de Bry,Flemish,https://nrs.harvard.edu/urn-3:HUAM:INV190871_dynmc,#c8af96,#967d64,#7d644b,0.276017897,0.154496644,0.143534676,Brown,Brown,Yellow,0
240188,Rebecca at the Well,Robert van Auden-Aerd,Flemish,https://nrs.harvard.edu/urn-3:HUAM:INV163182_dynmc,#c8c8af,#96967d,#afaf96,0.419223301,0.214627832,0.149320388,Green,Green,Green,0
240549,Atala,Jean Baptiste Raphael Urbain Massard,French,https://nrs.harvard.edu/urn-3:HUAM:INV171235_dynmc,#e1c8af,#321919,#c8af96,0.301310541,0.198290598,0.198176638,Orange,Brown,Brown,0
241707,Pope Alexander VII,Pieter van Schuppen,Flemish,https://nrs.harvard.edu/urn-3:HUAM:INV194221_dynmc,#afaf96,#c8c8af,#96967d,0.17754386,0.175672515,0.173333333,Green,Green,Green,0
242034,The Fourth Knot,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV190585_dynmc,#4b4b32,#64644b,#e1c8af,0.229830508,0.219039548,0.214745763,Green,Green,Orange,0
242263,Sihlwald,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198959_dynmc,#967d64,#7d644b,#c8af96,0.232916667,0.205059524,0.188392857,Brown,Yellow,Brown,0
242266,Entrance to a Wood,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198993_dynmc,#c8c8af,#e1c8c8,#7d644b,0.352193732,0.317378917,0.096125356,Green,Orange,Yellow,0
242267,Fountain,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198940_dynmc,#4b3232,#7d644b,#323219,0.317855072,0.182956522,0.139652174,Red,Yellow,Brown,0
242315,Klönthaler See,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV199013_dynmc,#c8af96,#c8c8af,#967d64,0.222528736,0.205172414,0.167873563,Brown,Green,Brown,0
242320,Near Stalvedro,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198962_dynmc,#7d644b,#967d64,#4b4b32,0.203103448,0.180747126,0.177988506,Yellow,Brown,Green,0
242328,Near Flüelen,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198965_dynmc,#c8c8af,#c8af96,#967d64,0.293030303,0.16230303,0.147454545,Green,Brown,Brown,0
242389,Childhood,August Gaber,German,https://nrs.harvard.edu/urn-3:HUAM:INV203110_dynmc,#c8c8af,#e1c8c8,#afaf96,0.58626087,0.212985507,0.051072464,Green,Orange,Green,0
242407,Site of the Ancient Town of Plurs,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198941_dynmc,#c8c8af,#c8af96,#af967d,0.230724638,0.227536232,0.136811594,Green,Brown,Brown,0
242411,Wasen,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198957_dynmc,#c8af96,#c8c8af,#af967d,0.242363636,0.211454545,0.149333333,Brown,Green,Brown,0
242417,Bridge Over a Stream at Foot of a Hill,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV199024_dynmc,#c8c8af,#e1c8c8,#c8af96,0.455384615,0.154166667,0.137692308,Green,Orange,Brown,0
242476,Chapel on the Battlefield of Sempach,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198996_dynmc,#c8c8af,#c8af96,#967d64,0.272212389,0.192035398,0.158761062,Green,Brown,Brown,0
242479,Landscapes Dedicated to Watelet,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198980_dynmc,#c8c8af,#4b4b32,#644b4b,0.349751244,0.228059701,0.215024876,Green,Green,Brown,0
242481,Landscapes Dedicated to Watelet,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV199028_dynmc,#e1c8af,#64644b,#4b4b32,0.420839506,0.147753086,0.14182716,Orange,Green,Green,0
242482,Landscapes Dedicated to Watelet,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV199029_dynmc,#e1c8c8,#4b4b32,#644b4b,0.402338308,0.270049751,0.169303483,Orange,Green,Brown,0
242483,Landscapes Dedicated to Watelet,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198982_dynmc,#c8c8af,#7d644b,#4b4b32,0.450666667,0.147952381,0.10952381,Green,Yellow,Green,0
242484,Landscapes Dedicated to Watelet,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198990_dynmc,#e1c8c8,#64644b,#4b4b32,0.4243257,0.145343511,0.126005089,Orange,Green,Green,0
242654,Turkish Family,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV190183_dynmc,#e1c8af,#c8af96,#af967d,0.517798742,0.217358491,0.127735849,Orange,Brown,Brown,0
242782,Near Walchwyl,Salomon Gessner,Swiss,https://nrs.harvard.edu/urn-3:HUAM:INV198974_dynmc,#c8af96,#64644b,#7d7d64,0.21315942,0.198898551,0.184347826,Brown,Green,Yellow,0
242812,Wooded Landscape with a Covered Wagon,Carl Wilhelm Kolbe,German,https://nrs.harvard.edu/urn-3:HUAM:INV198585_dynmc,#191919,#4b3232,#644b4b,0.308440367,0.186299694,0.162140673,Grey,Red,Brown,0
242872,"Arcadian Landscape with a Herdsman Playing His Pipe Beside a River, a Stag on the Bluff to the Right",Carl Wilhelm Kolbe,German,https://nrs.harvard.edu/urn-3:HUAM:INV198592_dynmc,#c8c8af,#323219,#afaf96,0.305333333,0.134866667,0.1348,Green,Brown,Green,0
242873,Rustic Bridge over a Swamp,Carl Wilhelm Kolbe,German,https://nrs.harvard.edu/urn-3:HUAM:INV198576_dynmc,#c8c8af,#4b4b32,#323219,0.338898551,0.152869565,0.118144928,Green,Green,Brown,0
242961,Hagar and Ishmael,Friedrich August Ludy,German,https://nrs.harvard.edu/urn-3:HUAM:INV196892_dynmc,#c8c8af,#967d64,#af967d,0.793166667,0.061166667,0.060388889,Green,Brown,Brown,0
243044,Virgin with the Monkey,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV189929_dynmc,#e1e1c8,#c8af96,#c8c8af,0.327152778,0.224097222,0.17125,Green,Brown,Green,0
244783,Venus and Other Deities,Giorgio Ghisi,Italian,https://nrs.harvard.edu/urn-3:HUAM:INV169964_dynmc,#4b3232,#c8c8af,#323219,0.37079096,0.266271186,0.248305085,Red,Green,Brown,0
244807,The Village Surgeon,Cornelis Dusart,Dutch,https://nrs.harvard.edu/urn-3:HUAM:INV194572_dynmc,#323219,#c8af96,#4b3232,0.203238095,0.186031746,0.169714286,Brown,Brown,Red,0
246253,Illustrations to Becker's Die angebinde,Daniel Nikolaus Chodowiecki,German,https://nrs.harvard.edu/urn-3:HUAM:INV198845_dynmc,#64644b,#4b4b32,#967d64,0.313814433,0.185085911,0.166872852,Green,Green,Brown,0
246719,"Illustration to Tristram Shandy, IX Th., p.75: A Gentleman from a Coach Beseeches a Shepherdess",Daniel Berger,German,https://nrs.harvard.edu/urn-3:HUAM:INV199660_dynmc,#c8c8af,#c8af96,#7d7d64,0.357069597,0.236630037,0.123663004,Green,Brown,Yellow,0
246786,"Illustration to Tristram Shandy, VIII Th., p.45: Man in Bed, His Leg Injured",Daniel Berger,German,https://nrs.harvard.edu/urn-3:HUAM:INV199650_dynmc,#c8c8af,#4b4b32,#644b4b,0.334505495,0.19025641,0.179267399,Green,Green,Brown,0
246792,"Illustration to Tristram Shandy, II Th., p. 26: Two Men before an Architect Seated with Drawings of Fortifications",Daniel Berger,German,https://nrs.harvard.edu/urn-3:HUAM:INV199662_dynmc,#c8c8af,#c8af96,#644b4b,0.223678161,0.185900383,0.167586207,Green,Brown,Brown,0
246819,"Illustration to Tristram Shandy, ""There's Nothing More!""",Daniel Berger,German,https://nrs.harvard.edu/urn-3:HUAM:INV199656_dynmc,#c8c8af,#af967d,#afaf96,0.365266667,0.164533333,0.1528,Green,Brown,Green,0
247202,Virgines Prudentes et Fatuae [The Wise and Foolish Virgins],Xaver Steifensand,German,https://nrs.harvard.edu/urn-3:HUAM:INV197697_dynmc,#e1c8c8,#afaf96,#967d7d,0.559416058,0.148856448,0.134452555,Orange,Green,Brown,0
247229,Tobit and Anna,Rudolph Wiegmann,German,https://nrs.harvard.edu/urn-3:HUAM:INV197656_dynmc,#e1c8c8,#afaf96,#96967d,0.954060606,0.030424242,0.009393939,Orange,Green,Green,0
247972,Girl with a Birdcage,Johann Eleazar Schenau,German,https://nrs.harvard.edu/urn-3:HUAM:INV199465_dynmc,#c8c8af,#7d7d64,#96967d,0.450362319,0.133623188,0.123768116,Green,Yellow,Green,0
248173,Engravers Engaged in Etching,Eugen Napoleon Neureuther,German,https://nrs.harvard.edu/urn-3:HUAM:INV197624_dynmc,#c8c8af,#af967d,#7d644b,0.864201681,0.057478992,0.040504202,Green,Brown,Yellow,0
248174,Maximilian Bestows the Coat-of-Arms of the Artist upon Albrecht Dürer,Eugen Napoleon Neureuther,German,https://nrs.harvard.edu/urn-3:HUAM:DDC255013_dynmc,#e1e1c8,#4b4b4b,#646464,0.263874644,0.157321937,0.136182336,Green,Grey,Grey,0
248188,Christ Led before the High Priest,Heinrich Nüsser,German,https://nrs.harvard.edu/urn-3:HUAM:INV197110_dynmc,#e1c8c8,#c8c8af,#969696,0.576393443,0.169672131,0.110163934,Orange,Green,Grey,0
249938,Ruth and Boaz,Ferdinand Ruscheweyh,German,https://nrs.harvard.edu/urn-3:HUAM:INV203095_dynmc,#e1c8c8,#c8c8af,#afaf96,0.427002801,0.399383754,0.064313725,Orange,Green,Green,0
250365,Seven Deadly Sins,José Guadalupe Posada Aguilar,Mexican,https://nrs.harvard.edu/urn-3:HUAM:INV164866_dynmc,#96967d,#64644b,#4b4b32,0.84869281,0.038104575,0.035163399,Green,Green,Green,0
253472,Moises Saenz,David Alfaro Siqueiros,Mexican,,#c8c8af,#191919,#323232,0.48162465,0.281120448,0.089635854,Green,Grey,Grey,0
255227,Sara Wearing Her Bonnet and Coat,Mary Cassatt,American,https://nrs.harvard.edu/urn-3:HUAM:INV159831_dynmc,#c8c8af,#af967d,#e1c8c8,0.864188791,0.053333333,0.030442478,Green,Brown,Orange,0
255553,The Prodigal Son,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV216437_dynmc,#c8c8af,#7d7d64,#afaf96,0.312816092,0.196494253,0.160172414,Green,Yellow,Green,0
255667,Prodigal Son,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV216453_dynmc,#c8af96,#64644b,#967d64,0.247521368,0.212535613,0.164900285,Brown,Green,Brown,0
256893,Æther,Hendrick Goltzius,Dutch,https://nrs.harvard.edu/urn-3:HUAM:VRS83969_dynmc,#fafafa,#afafaf,#323232,0.242277778,0.149277778,0.090833333,White,Grey,Grey,0
257737,"""Thy sons and thy daughters were eating and drinking wine,""",William Blake,British,https://nrs.harvard.edu/urn-3:HUAM:INV195448_dynmc,#e1e1e1,#c8c8c8,#afafaf,0.747179487,0.11960114,0.030997151,Grey,Grey,Grey,0
257774,"""There were not found women fair as the daughters of Job.""",William Blake,British,https://nrs.harvard.edu/urn-3:HUAM:INV195534_dynmc,#e1e1e1,#c8c8c8,#afafaf,0.296809117,0.283817664,0.167122507,Grey,Grey,Grey,0
260131,Fisherman,Max Pechstein,German,,#c8c8af,#191919,#c8af96,0.571625344,0.149476584,0.096694215,Green,Grey,Brown,0
260937,"Tombstone of Richard Holmes, 2nd, Plymouth, Massachusetts, 1828",Ann Parker,American,https://nrs.harvard.edu/urn-3:HUAM:INV167552_dynmc,#e1c8c8,#c8c8af,#c8af96,0.431326861,0.255533981,0.10012945,Orange,Green,Brown,0
262022,Plate VII,James Turrell,American,,#e1e1e1,#191919,#4b4b4b,0.576432749,0.151052632,0.053333333,Grey,Grey,Grey,0
264470,La Revue,Jacques Callot,French,https://nrs.harvard.edu/urn-3:HUAM:INV180515_dynmc,#c8af96,#e1c8c8,#af967d,0.548248588,0.148361582,0.117175141,Brown,Orange,Brown,0
267806,"""Where is that bourgeois?  It's the time where . . .""",Honoré-Victorin Daumier,French,https://nrs.harvard.edu/urn-3:HUAM:INV174728_dynmc,#c8c8af,#e1c8c8,#afaf96,0.43899705,0.339587021,0.050914454,Green,Orange,Green,0
269025,Plant Fantasy,Jeanne Deny,French,https://nrs.harvard.edu/urn-3:HUAM:77593_dynmc,#e1e1e1,#fafae1,#c8c8c8,0.687757576,0.107272727,0.103515152,Grey,Green,Grey,0
270509,Souvenir d'Italie,Jean-Baptiste-Camille Corot,French,https://nrs.harvard.edu/urn-3:HUAM:758395,#e1e1c8,#e1c8af,#7d7d64,0.509570957,0.208976898,0.057293729,Green,Orange,Yellow,0
273359,Saint Simon,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV189951_dynmc,#c8c8af,#64644b,#7d7d64,0.44442029,0.17057971,0.13884058,Green,Green,Yellow,0
273360,Saint Anthony Reading,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV189920_dynmc,#c8c8af,#96967d,#7d7d64,0.402588997,0.189902913,0.186796117,Green,Green,Yellow,0
273433,Two Beggar Women,Jacques Callot,French,https://nrs.harvard.edu/urn-3:HUAM:INV180596_dynmc,#c8af96,#af967d,#c8c8af,0.366049383,0.178395062,0.099876543,Brown,Brown,Green,0
273561,Descente dans l'île de Ré,Jacques Callot,French,https://nrs.harvard.edu/urn-3:HUAM:INV180687P_dynmc,#c8c8af,#c8af96,#e1c8c8,0.375706215,0.155932203,0.119322034,Green,Brown,Orange,0
273622,"Frieze with Peter kissing Christ, Peter's ear, and reliquary",Anonymous Italy 1599,Italian,https://nrs.harvard.edu/urn-3:HUAM:INV170783_dynmc,#c8c8af,#afaf96,#e1e1c8,0.236190476,0.234761905,0.21031746,Green,Green,Green,0
273683,Turkish Family,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV189988_dynmc,#c8c8af,#96967d,#4b4b32,0.485856698,0.13788162,0.09470405,Green,Green,Green,0
273684,Peasants at Market,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV190198_dynmc,#e1c8af,#64644b,#7d7d64,0.297052632,0.239368421,0.159017544,Orange,Green,Yellow,0
273736,Three Peasants in Conversation,Albrecht Dürer,German,https://nrs.harvard.edu/urn-3:HUAM:INV190205_dynmc,#c8c8af,#afaf96,#af967d,0.513149847,0.172477064,0.139816514,Green,Green,Brown,0
